,folds,test_auc,val_auc,test_acc,val_acc,test_f1
0,0,0.8126298324096568,0.8255792646900871,0.9568291092820471,0.9569011815252422,0.21310752682866194
1,1,0.8136346687929035,0.8216309899762382,0.9579292641186539,0.9588631264023939,0.20668826755096512
2,2,0.818075053045169,0.8333941433932769,0.9574810528889253,0.9584510727367875,0.21917085550028023
3,3,0.8263087602863493,0.7925337994705074,0.9578070246923642,0.957840630659423,0.21099527963303233
4,4,0.8187274429657121,0.8374557163486914,0.9565031374786082,0.9573222198776118,0.21796173874075553
